令和２年,人口動態統計,,
上巻　死亡　第５．１４表　死因（死因年次推移分類）別にみた性・年次別年齢調整死亡率（人口10万対）
注：１）年齢調整死亡率の基準人口は、2015年（平成27年）モデル人口である。なお、計算方法は、e-Stat（確定数）の「用語及び比率の解説」の「比率の解説」を参照されたい。
　　２）死因名等はICD-10（2013年版）の死因年次推移分類による。
　　３）死亡総数には、死因年次推移分類以外の死因を含む。
　　４）2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計を行ったことにより、2017年（平成29年）以前の報告書とは数値が一致しない箇所がある。
,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
死　亡　総　数　,男　,1659.7,1592.2,1567.2,1566.9,1517.1,1564.6,1570.6,1528.8,1487.4,1449.7,1434.9,1409.4,1400.9,1375.7,1352.8,1328.7
　 ,女　,891.5,862.7,848.1,845.5,814.4,833.7,852.4,828.1,813.6,793.2,787.2,771.9,764.4,756.6,745.9,722.1
Hi01　結　　核　,男　,4.8,4.4,4.1,4.2,3.7,3.7,3.6,3.3,3.0,3.0,2.8,2.6,3.2,2.8,2.4,2.2
　 ,女　,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.0,0.9,1.0,1.0,1.0,0.8
Hi02　悪性新生物＜腫瘍＞,男　,494.4,483.5,480.4,476.2,465.2,469.4,461.5,453.3,445.8,438.4,433.0,424.4,415.1,402.9,397.8,394.7
　 ,女　,225.0,222.3,220.0,219.0,215.5,216.2,214.5,211.9,210.3,208.8,206.6,205.6,200.7,199.6,197.6,196.4
Hi03　糖　尿　病　,男　,17.8,17.6,17.5,17.7,16.8,17.1,17.0,16.4,15.1,14.8,14.3,14.2,14.7,14.5,13.8,13.9
　 ,女　,11.6,11.0,10.9,10.9,10.2,10.2,10.0,9.6,8.8,8.4,7.9,7.7,7.5,7.4,7.1,6.9
Hi04　高血圧性疾患　,男　,7.6,7.0,7.3,7.1,6.6,7.2,7.2,7.3,6.7,6.4,6.1,6.2,8.3,8.1,7.9,8.2
　 ,女　,6.8,6.5,6.3,6.1,5.9,6.1,6.1,5.9,5.7,5.2,4.8,4.6,6.2,5.9,5.7,5.7
Hi05　心疾患（高血圧性を除く）,男　,249.2,238.0,230.5,231.9,222.6,228.9,227.9,224.6,213.1,208.7,203.6,199.9,200.4,197.4,191.5,190.1
　 ,女　,161.8,156.1,152.7,151.5,144.6,147.4,145.8,143.2,137.3,131.8,127.4,123.1,122.6,120.1,115.6,109.2
Hi06　脳血管疾患　,男　,194.3,179.2,170.4,164.7,153.9,153.7,147.3,139.7,130.3,121.7,116.0,110.0,107.5,102.3,98.2,93.8
　 ,女　,125.3,115.8,109.1,104.6,96.2,93.3,91.1,86.0,81.2,75.6,72.6,68.0,65.7,62.8,59.9,56.4
Hi07　肺　　炎　,男　,213.4,200.2,196.9,196.9,183.5,191.9,191.3,182.1,173.6,162.3,160.3,152.6,120.3,112.5,109.7,90.1
　　,女　,91.8,88.2,85.1,84.9,78.3,80.2,80.7,76.5,72.5,67.8,66.4,61.8,47.8,44.7,43.3,33.4
Hi08　慢性気管支炎及び肺気腫　,男　,28.3,25.9,25.1,23.9,21.6,21.6,20.1,18.6,16.6,15.0,13.7,12.4,15.8,14.2,12.8,11.1
　 ,女　,4.5,4.3,4.0,3.7,3.4,3.2,3.0,2.8,2.4,2.1,2.0,1.8,1.9,1.7,1.6,1.4
Hi09　喘　　息　,男　,4.9,3.8,3.2,2.9,2.5,2.4,2.2,2.0,1.7,1.4,1.3,1.3,1.3,1.3,1.1,0.9
　 ,女　,2.9,2.6,2.3,2.0,1.8,1.7,1.7,1.5,1.4,1.2,1.2,1.1,1.3,1.1,1.0,0.7
Hi10　胃潰瘍及び十二指腸潰瘍　,男　,5.3,5.2,4.8,4.5,4.3,4.4,4.1,3.8,3.4,3.4,3.1,3.1,2.7,2.6,2.7,2.4
　 ,女　,2.9,2.6,2.4,2.4,2.1,2.1,1.9,2.0,1.6,1.5,1.4,1.4,1.3,1.3,1.2,1.0
Hi11　肝　疾　患　,男　,22.6,22.2,21.5,21.0,20.4,20.4,20.4,19.6,19.3,18.4,18.1,18.2,19.6,19.7,19.6,20.2
　 ,女　,9.4,9.1,9.0,9.1,8.6,8.5,8.6,8.0,7.9,7.9,7.8,7.7,8.0,7.9,7.8,7.7
